지역코드,연월,NPS_가입자수,NPS_고지금액합계,NPS_사업장수,NPS_1인당고지금액,NPS_고용증감,시도,연도,월
28170,2016-11,687,153619880,47,223609.7234352256,3,인천,2016,11
28177,2016-11,28884,5752439800,1827,199156.6195817754,153,인천,2016,11
28185,2016-11,40785,10431677040,2100,255772.39279146746,460,인천,2016,11
28200,2016-11,88560,20514323940,4700,231643.22425474256,882,인천,2016,11
28237,2016-11,56854,15022266420,2413,264225.32134942134,297,인천,2016,11
28245,2016-11,20209,3961478400,1485,196025.45400564105,99,인천,2016,11
28260,2016-11,75263,17436569000,4620,231675.17903883714,586,인천,2016,11
28710,2016-11,6186,1233801920,513,199450.68218558034,85,인천,2016,11
28720,2016-11,1693,327101780,223,193208.3756645009,-9,인천,2016,11
29110,2016-11,14452,2990581140,909,206931.99141987268,195,광주,2016,11
29140,2016-11,40561,9363009200,2605,230837.7308251769,121,광주,2016,11
29155,2016-11,14290,2867816960,1021,200686.9811056683,145,광주,2016,11
29170,2016-11,47313,9448149320,3191,199694.5727389935,665,광주,2016,11
29200,2016-11,64780,14690011380,3552,226767.6965112689,548,광주,2016,11
30110,2016-11,28308,6902777280,1182,243845.45994065283,115,대전,2016,11
30140,2016-11,23822,4487769220,1357,188387.59214171773,39,대전,2016,11
30170,2016-11,56779,11343124400,2618,199776.7554905863,462,대전,2016,11
30200,2016-11,76618,19832293160,3380,258846.3958860842,417,대전,2016,11
30230,2016-11,51100,13702655420,1898,268153.7264187867,133,대전,2016,11
31110,2016-11,23343,6264499240,834,268367.3580945037,135,울산,2016,11
31140,2016-11,53782,13882078320,2635,258117.5545721617,489,울산,2016,11
31170,2016-11,29394,8484716960,587,288654.7240933524,235,울산,2016,11
31200,2016-11,26897,6719797200,1217,249834.44993865487,80,울산,2016,11
31710,2016-11,51519,13477570660,2694,261603.88710961005,219,울산,2016,11
36110,2016-11,36558,9001573160,2232,246227.17763553804,321,세종,2016,11
41111,2016-11,23860,5304020600,955,222297.59430008382,146,경기,2016,11
41113,2016-11,34395,7513424100,2047,218445.24204099434,431,경기,2016,11
41115,2016-11,22513,4634951120,1320,205878.8753164838,7,경기,2016,11
41117,2016-11,141067,48583553180,2136,344400.5556225056,1532,경기,2016,11
41131,2016-11,18172,3803833400,1318,209323.87189082106,103,경기,2016,11
41133,2016-11,48993,11736033080,2509,239545.09991223237,16,경기,2016,11
41135,2016-11,183947,51989210620,5413,282631.4678684621,1319,경기,2016,11
41150,2016-11,21904,4252002980,1690,194119.9315193572,173,경기,2016,11
41171,2016-11,25715,5710380460,1387,222064.18277270076,142,경기,2016,11
41173,2016-11,74379,18772243620,4197,252386.3404993345,661,경기,2016,11
41190,2016-11,78020,16657745340,5375,213506.09254037426,807,경기,2016,11
41195,2016-11,1842,322178000,152,174906.62323561346,14,경기,2016,11
41197,2016-11,636,139455280,61,219269.30817610063,-9,경기,2016,11
41199,2016-11,872,207555780,50,238022.68348623853,-20,경기,2016,11
41210,2016-11,31644,7592906660,1721,239947.7518644925,123,경기,2016,11
41220,2016-11,110839,29709336840,4687,268040.4626530373,1349,경기,2016,11
41250,2016-11,7962,1565630780,455,196637.87741773424,-128,경기,2016,11
41271,2016-11,20089,4205805020,1609,209358.6052068296,122,경기,2016,11
41273,2016-11,118296,29818170800,5354,252064.0664096842,515,경기,2016,11
41281,2016-11,25814,5211185860,2332,201874.40381188501,435,경기,2016,11
41283,2016-11,7,1189880,2,169982.85714285713,0,경기,2016,11
41285,2016-11,43572,9514291180,3593,218357.91746993482,421,경기,2016,11
41287,2016-11,15886,3258441260,1345,205114.01611481808,97,경기,2016,11
41290,2016-11,20885,5192729280,584,248634.39214747425,153,경기,2016,11
41310,2016-11,13275,2687814340,1272,202471.8900188324,34,경기,2016,11
41360,2016-11,47644,9632824100,4357,202183.3620183024,307,경기,2016,11
41370,2016-11,20279,4309673440,1243,212519.03151042952,368,경기,2016,11
41390,2016-11,86309,20930996440,5845,242512.32710377828,781,경기,2016,11
41410,2016-11,35992,8072833100,2263,224295.20726828184,181,경기,2016,11
41430,2016-11,17731,4206297700,1269,237228.45299193502,76,경기,2016,11
41450,2016-11,26590,5568794060,2591,209431.89394509213,357,경기,2016,11
41461,2016-11,54661,12617435700,2899,230830.67818005526,254,경기,2016,11
41463,2016-11,84189,24944756440,2812,296294.72306358314,119,경기,2016,11
41465,2016-11,22443,5322240640,1317,237144.79525910082,147,경기,2016,11
41480,2016-11,67968,15010405220,4231,220845.1803790019,580,경기,2016,11
41500,2016-11,58917,17202321420,1969,291975.51504659094,350,경기,2016,11
41550,2016-11,42318,9917056020,2234,234346.04707216786,180,경기,2016,11
41570,2016-11,62572,14012623860,5143,223943.99827398837,592,경기,2016,11
41590,2016-11,200722,51916765640,10925,258650.1013341836,2518,경기,2016,11
41592,2016-11,27,8335800,3,308733.3333333333,-2,경기,2016,11
