연월,시도,전입,전출,순이동,연도,월
2016-02,인천,35544,35133,411,2016,2
2016-02,전남,24258,25284,-1026,2016,2
2016-02,전북,24447,25209,-762,2016,2
2016-02,제주,13677,11939,1738,2016,2
2016-02,충남,29694,28601,1093,2016,2
2016-02,충북,19374,19842,-468,2016,2
2016-03,강원,23483,23619,-136,2016,3
2016-03,경기,172219,162955,9264,2016,3
2016-03,경남,39973,40216,-243,2016,3
2016-03,경북,34906,34784,122,2016,3
2016-03,광주,18673,19646,-973,2016,3
2016-03,대구,30695,31709,-1014,2016,3
2016-03,대전,20578,21724,-1146,2016,3
2016-03,부산,39742,41040,-1298,2016,3
2016-03,서울,140880,149700,-8820,2016,3
2016-03,세종,5963,2808,3155,2016,3
2016-03,울산,13638,14375,-737,2016,3
2016-03,인천,37293,37078,215,2016,3
2016-03,전남,24802,25068,-266,2016,3
2016-03,전북,25641,26441,-800,2016,3
2016-03,제주,10544,8955,1589,2016,3
2016-03,충남,27075,26291,784,2016,3
2016-03,충북,20021,19717,304,2016,3
2016-04,강원,17715,17382,333,2016,4
2016-04,경기,140411,132857,7554,2016,4
2016-04,경남,34249,33457,792,2016,4
2016-04,경북,25347,25404,-57,2016,4
2016-04,광주,18454,18693,-239,2016,4
2016-04,대구,25406,26339,-933,2016,4
2016-04,대전,15435,16238,-803,2016,4
2016-04,부산,36072,37103,-1031,2016,4
2016-04,서울,117029,127687,-10658,2016,4
2016-04,세종,4349,2535,1814,2016,4
2016-04,울산,11855,12474,-619,2016,4
2016-04,인천,34492,33162,1330,2016,4
2016-04,전남,17935,18134,-199,2016,4
2016-04,전북,18996,19508,-512,2016,4
2016-04,제주,8217,6608,1609,2016,4
2016-04,충남,21739,20926,813,2016,4
2016-04,충북,16527,15721,806,2016,4
2016-05,강원,15995,16263,-268,2016,5
2016-05,경기,152523,142146,10377,2016,5
2016-05,경남,33272,33010,262,2016,5
2016-05,경북,24655,24234,421,2016,5
2016-05,광주,18670,18653,17,2016,5
2016-05,대구,25379,26570,-1191,2016,5
2016-05,대전,16214,17177,-963,2016,5
2016-05,부산,37470,39189,-1719,2016,5
2016-05,서울,123743,135701,-11958,2016,5
2016-05,세종,4876,2598,2278,2016,5
2016-05,울산,13865,14317,-452,2016,5
2016-05,인천,36236,35585,651,2016,5
2016-05,전남,18097,18469,-372,2016,5
2016-05,전북,19474,20054,-580,2016,5
2016-05,제주,8464,7006,1458,2016,5
2016-05,충남,24471,23236,1235,2016,5
2016-05,충북,16024,15220,804,2016,5
2016-06,강원,15898,15126,772,2016,6
2016-06,경기,147796,137581,10215,2016,6
2016-06,경남,32391,32116,275,2016,6
2016-06,경북,23520,23352,168,2016,6
2016-06,광주,17556,17966,-410,2016,6
2016-06,대구,24418,25286,-868,2016,6
2016-06,대전,17211,18142,-931,2016,6
2016-06,부산,36668,38781,-2113,2016,6
2016-06,서울,119398,131462,-12064,2016,6
2016-06,세종,4646,2487,2159,2016,6
2016-06,울산,11798,12334,-536,2016,6
2016-06,인천,34349,33998,351,2016,6
2016-06,전남,17659,17721,-62,2016,6
2016-06,전북,19922,19764,158,2016,6
2016-06,제주,7716,6519,1197,2016,6
2016-06,충남,21438,20051,1387,2016,6
2016-06,충북,14684,14382,302,2016,6
2016-07,강원,14964,14927,37,2016,7
2016-07,경기,152101,138877,13224,2016,7
2016-07,경남,27779,27885,-106,2016,7
2016-07,경북,21912,22327,-415,2016,7
2016-07,광주,15324,15522,-198,2016,7
2016-07,대구,25905,26394,-489,2016,7
2016-07,대전,16011,16489,-478,2016,7
2016-07,부산,32635,34565,-1930,2016,7
2016-07,서울,110156,123001,-12845,2016,7
2016-07,세종,3703,2112,1591,2016,7
2016-07,울산,10411,10994,-583,2016,7
2016-07,인천,39043,38258,785,2016,7
2016-07,전남,16610,17153,-543,2016,7
2016-07,전북,16979,17243,-264,2016,7
2016-07,제주,7137,5808,1329,2016,7
2016-07,충남,19478,18960,518,2016,7
2016-07,충북,14742,14375,367,2016,7
2016-08,강원,17116,16937,179,2016,8
2016-08,경기,182540,167422,15118,2016,8
2016-08,경남,32183,33006,-823,2016,8
2016-08,경북,25400,26328,-928,2016,8
2016-08,광주,18116,18609,-493,2016,8
2016-08,대구,31352,31272,80,2016,8
2016-08,대전,19408,20086,-678,2016,8
2016-08,부산,38613,40144,-1531,2016,8
2016-08,서울,132319,146990,-14671,2016,8
2016-08,세종,5323,3144,2179,2016,8
2016-08,울산,11559,12152,-593,2016,8
2016-08,인천,41232,40566,666,2016,8
2016-08,전남,19007,19636,-629,2016,8
2016-08,전북,19681,20063,-382,2016,8
2016-08,제주,8382,7255,1127,2016,8
2016-08,충남,22955,21718,1237,2016,8
2016-08,충북,16696,16554,142,2016,8
2016-09,강원,15714,15114,600,2016,9
2016-09,경기,152589,141531,11058,2016,9
2016-09,경남,27454,27623,-169,2016,9
2016-09,경북,21155,21067,88,2016,9
2016-09,광주,15792,16256,-464,2016,9
2016-09,대구,23401,23797,-396,2016,9
2016-09,대전,15466,15982,-516,2016,9
2016-09,부산,32336,34284,-1948,2016,9
2016-09,서울,117840,128750,-10910,2016,9
2016-09,세종,3965,2539,1426,2016,9
2016-09,울산,9995,10643,-648,2016,9
2016-09,인천,35784,35177,607,2016,9
2016-09,전남,15793,16490,-697,2016,9
2016-09,전북,16884,17360,-476,2016,9
2016-09,제주,6775,5926,849,2016,9
2016-09,충남,20524,19233,1291,2016,9
2016-09,충북,14253,13948,305,2016,9
2016-10,강원,18666,18091,575,2016,10
2016-10,경기,170234,157398,12836,2016,10
2016-10,경남,31838,31236,602,2016,10
2016-10,경북,24104,24642,-538,2016,10
2016-10,광주,17360,18230,-870,2016,10
2016-10,대구,26049,26702,-653,2016,10
2016-10,대전,18049,18978,-929,2016,10
2016-10,부산,38232,40719,-2487,2016,10
2016-10,서울,133610,146868,-13258,2016,10
2016-10,세종,5209,3032,2177,2016,10
2016-10,울산,11208,11576,-368,2016,10
2016-10,인천,39839,39451,388,2016,10
2016-10,전남,16900,16814,86,2016,10
2016-10,전북,18586,19158,-572,2016,10
2016-10,제주,7344,6413,931,2016,10
2016-10,충남,22619,21113,1506,2016,10
2016-10,충북,16509,15935,574,2016,10
2016-11,강원,18753,18458,295,2016,11
2016-11,경기,181152,169278,11874,2016,11
2016-11,경남,33251,32673,578,2016,11
2016-11,경북,25265,25372,-107,2016,11
2016-11,광주,17896,18771,-875,2016,11
2016-11,대구,29511,29775,-264,2016,11
2016-11,대전,19300,20106,-806,2016,11
2016-11,부산,40842,43346,-2504,2016,11
2016-11,서울,130166,144748,-14582,2016,11
2016-11,세종,5679,3820,1859,2016,11
2016-11,울산,11493,12217,-724,2016,11
2016-11,인천,40280,40288,-8,2016,11
2016-11,전남,18921,18445,476,2016,11
2016-11,전북,22437,21806,631,2016,11
2016-11,제주,7693,6701,992,2016,11
2016-11,충남,25035,22948,2087,2016,11
2016-11,충북,17612,16534,1078,2016,11
2016-12,강원,21803,21026,777,2016,12
2016-12,경기,183387,170274,13113,2016,12
2016-12,경남,38465,36693,1772,2016,12
2016-12,경북,28199,28337,-138,2016,12
2016-12,광주,18560,21044,-2484,2016,12
2016-12,대구,29237,30494,-1257,2016,12
2016-12,대전,19783,21163,-1380,2016,12
2016-12,부산,42053,45476,-3423,2016,12
2016-12,서울,132110,147536,-15426,2016,12
2016-12,세종,6617,4308,2309,2016,12
2016-12,울산,11623,12582,-959,2016,12
2016-12,인천,36726,36891,-165,2016,12
2016-12,전남,24508,22533,1975,2016,12
2016-12,전북,24934,24342,592,2016,12
2016-12,제주,8950,7993,957,2016,12
2016-12,충남,27160,24402,2758,2016,12
2016-12,충북,18788,17809,979,2016,12
2017-01,강원,18522,19855,-1333,2017,1
2017-01,경기,147008,138863,8145,2017,1
2017-01,경남,33822,33949,-127,2017,1
2017-01,경북,25341,26785,-1444,2017,1
2017-01,광주,17484,17358,126,2017,1
2017-01,대구,26169,26266,-97,2017,1
2017-01,대전,18367,18700,-333,2017,1
2017-01,부산,37605,39613,-2008,2017,1
2017-01,서울,114655,117173,-2518,2017,1
2017-01,세종,5331,3630,1701,2017,1
2017-01,울산,11137,12210,-1073,2017,1
2017-01,인천,29578,29383,195,2017,1
2017-01,전남,19979,21243,-1264,2017,1
2017-01,전북,20975,22213,-1238,2017,1
2017-01,제주,11105,10479,626,2017,1
2017-01,충남,23264,22634,630,2017,1
2017-01,충북,16809,16797,12,2017,1
2017-02,강원,23477,24219,-742,2017,2
2017-02,경기,186226,177324,8902,2017,2
2017-02,경남,42196,44175,-1979,2017,2
2017-02,경북,31878,34046,-2168,2017,2
2017-02,광주,22751,24050,-1299,2017,2
2017-02,대구,33146,33613,-467,2017,2
2017-02,대전,23601,24507,-906,2017,2
2017-02,부산,48737,50027,-1290,2017,2
2017-02,서울,161130,162678,-1548,2017,2
2017-02,세종,7066,4612,2454,2017,2
2017-02,울산,13655,15728,-2073,2017,2
2017-02,인천,38606,38956,-350,2017,2
2017-02,전남,24414,25694,-1280,2017,2
2017-02,전북,25336,26503,-1167,2017,2
2017-02,제주,13356,12126,1230,2017,2
2017-02,충남,32414,30003,2411,2017,2
2017-02,충북,20859,20587,272,2017,2
2017-03,강원,21771,21877,-106,2017,3
2017-03,경기,172041,162209,9832,2017,3
2017-03,경남,38197,38767,-570,2017,3
2017-03,경북,29122,30584,-1462,2017,3
2017-03,광주,20451,21526,-1075,2017,3
2017-03,대구,27779,28957,-1178,2017,3
2017-03,대전,19915,21952,-2037,2017,3
2017-03,부산,39566,41622,-2056,2017,3
2017-03,서울,143477,148176,-4699,2017,3
2017-03,세종,7392,4001,3391,2017,3
2017-03,울산,12416,13919,-1503,2017,3
2017-03,인천,36433,36448,-15,2017,3
2017-03,전남,22288,23082,-794,2017,3
2017-03,전북,23022,23962,-940,2017,3
2017-03,제주,10158,9029,1129,2017,3
2017-03,충남,30178,27861,2317,2017,3
2017-03,충북,19145,19379,-234,2017,3
2017-04,강원,15430,15444,-14,2017,4
2017-04,경기,136220,129921,6299,2017,4
