연월,시도,준공_아파트,준공_전체,착공_아파트,착공_전체,착공_호수,준공_호수,착공_비아파트,준공_비아파트,연도,월
2015-05,충북,1411.0,2262.0,782.0,2306.0,2306.0,2262.0,1524.0,851.0,2015,5
2015-06,강원,318.0,1338.0,2331.0,3710.0,3710.0,1338.0,1379.0,1020.0,2015,6
2015-06,경기,9843.0,15404.0,14320.0,23139.0,23139.0,15404.0,8819.0,5561.0,2015,6
2015-06,경남,1230.0,3149.0,2803.0,4950.0,4950.0,3149.0,2147.0,1919.0,2015,6
2015-06,경북,1350.0,3714.0,2487.0,5191.0,5191.0,3714.0,2704.0,2364.0,2015,6
2015-06,광주,43.0,513.0,422.0,921.0,921.0,513.0,499.0,470.0,2015,6
2015-06,대구,113.0,1436.0,2595.0,4151.0,4151.0,1436.0,1556.0,1323.0,2015,6
2015-06,대전,1911.0,2455.0,793.0,1577.0,1577.0,2455.0,784.0,544.0,2015,6
2015-06,부산,4042.0,4713.0,6269.0,7082.0,7082.0,4713.0,813.0,671.0,2015,6
2015-06,서울,1603.0,4967.0,2289.0,7675.0,7675.0,4967.0,5386.0,3364.0,2015,6
2015-06,세종,2250.0,2310.0,1809.0,1860.0,1860.0,2310.0,51.0,60.0,2015,6
2015-06,울산,,531.0,689.0,1265.0,1265.0,531.0,576.0,,2015,6
2015-06,인천,4697.0,5333.0,2626.0,3202.0,3202.0,5333.0,576.0,636.0,2015,6
2015-06,전남,614.0,1191.0,265.0,1219.0,1219.0,1191.0,954.0,577.0,2015,6
2015-06,전북,1030.0,1830.0,,1163.0,1163.0,1830.0,,800.0,2015,6
2015-06,제주,171.0,1377.0,727.0,2187.0,2187.0,1377.0,1460.0,1206.0,2015,6
2015-06,충남,,1753.0,3337.0,5547.0,5547.0,1753.0,2210.0,,2015,6
2015-06,충북,,1016.0,3675.0,5196.0,5196.0,1016.0,1521.0,,2015,6
2015-07,강원,391.0,1257.0,3677.0,4820.0,4820.0,1257.0,1143.0,866.0,2015,7
2015-07,경기,10689.0,18036.0,14122.0,22498.0,22498.0,18036.0,8376.0,7347.0,2015,7
2015-07,경남,1614.0,3586.0,3471.0,5454.0,5454.0,3586.0,1983.0,1972.0,2015,7
2015-07,경북,1029.0,3848.0,1680.0,4395.0,4395.0,3848.0,2715.0,2819.0,2015,7
2015-07,광주,1590.0,2026.0,713.0,1748.0,1748.0,2026.0,1035.0,436.0,2015,7
2015-07,대구,643.0,2034.0,1838.0,3663.0,3663.0,2034.0,1825.0,1391.0,2015,7
2015-07,대전,,565.0,46.0,741.0,741.0,565.0,695.0,,2015,7
2015-07,부산,640.0,1339.0,3449.0,4218.0,4218.0,1339.0,769.0,699.0,2015,7
2015-07,서울,2114.0,6044.0,1596.0,9020.0,9020.0,6044.0,7424.0,3930.0,2015,7
2015-07,세종,2523.0,2646.0,2510.0,2588.0,2588.0,2646.0,78.0,123.0,2015,7
2015-07,울산,14.0,749.0,917.0,1412.0,1412.0,749.0,495.0,735.0,2015,7
2015-07,인천,2195.0,3133.0,164.0,1073.0,1073.0,3133.0,909.0,938.0,2015,7
2015-07,전남,1979.0,2777.0,147.0,963.0,963.0,2777.0,816.0,798.0,2015,7
2015-07,전북,1393.0,2451.0,548.0,1397.0,1397.0,2451.0,849.0,1058.0,2015,7
2015-07,제주,585.0,1210.0,301.0,1891.0,1891.0,1210.0,1590.0,625.0,2015,7
2015-07,충남,3639.0,5513.0,520.0,2276.0,2276.0,5513.0,1756.0,1874.0,2015,7
2015-07,충북,711.0,1664.0,1176.0,2498.0,2498.0,1664.0,1322.0,953.0,2015,7
2015-08,강원,,853.0,14.0,812.0,812.0,853.0,798.0,,2015,8
2015-08,경기,8189.0,14038.0,21217.0,28587.0,28587.0,14038.0,7370.0,5849.0,2015,8
2015-08,경남,1588.0,3202.0,3566.0,4904.0,4904.0,3202.0,1338.0,1614.0,2015,8
2015-08,경북,830.0,3461.0,3351.0,5636.0,5636.0,3461.0,2285.0,2631.0,2015,8
2015-08,광주,,476.0,1545.0,1998.0,1998.0,476.0,453.0,,2015,8
2015-08,대구,1529.0,2671.0,1893.0,3364.0,3364.0,2671.0,1471.0,1142.0,2015,8
2015-08,대전,163.0,649.0,,985.0,985.0,649.0,,486.0,2015,8
2015-08,부산,344.0,1329.0,2173.0,2686.0,2686.0,1329.0,513.0,985.0,2015,8
2015-08,서울,3833.0,7241.0,2903.0,8872.0,8872.0,7241.0,5969.0,3408.0,2015,8
2015-08,세종,1434.0,1470.0,2495.0,2639.0,2639.0,1470.0,144.0,36.0,2015,8
2015-08,울산,712.0,1246.0,86.0,564.0,564.0,1246.0,478.0,534.0,2015,8
2015-08,인천,265.0,950.0,6224.0,7279.0,7279.0,950.0,1055.0,685.0,2015,8
2015-08,전남,973.0,1559.0,829.0,1581.0,1581.0,1559.0,752.0,586.0,2015,8
2015-08,전북,1492.0,2329.0,511.0,1528.0,1528.0,2329.0,1017.0,837.0,2015,8
2015-08,제주,379.0,1459.0,266.0,1604.0,1604.0,1459.0,1338.0,1080.0,2015,8
2015-08,충남,889.0,2608.0,3937.0,6004.0,6004.0,2608.0,2067.0,1719.0,2015,8
2015-08,충북,476.0,1775.0,890.0,1818.0,1818.0,1775.0,928.0,1299.0,2015,8
2015-09,강원,1290.0,2463.0,,1032.0,1032.0,2463.0,,1173.0,2015,9
2015-09,경기,4939.0,12138.0,9319.0,17150.0,17150.0,12138.0,7831.0,7199.0,2015,9
2015-09,경남,1243.0,3449.0,6944.0,8788.0,8788.0,3449.0,1844.0,2206.0,2015,9
2015-09,경북,1426.0,4325.0,2035.0,4740.0,4740.0,4325.0,2705.0,2899.0,2015,9
2015-09,광주,716.0,1241.0,83.0,576.0,576.0,1241.0,493.0,525.0,2015,9
2015-09,대구,1669.0,3384.0,185.0,1795.0,1795.0,3384.0,1610.0,1715.0,2015,9
2015-09,대전,106.0,787.0,27.0,713.0,713.0,787.0,686.0,681.0,2015,9
2015-09,부산,424.0,1277.0,1392.0,2201.0,2201.0,1277.0,809.0,853.0,2015,9
2015-09,서울,3100.0,7445.0,5053.0,11443.0,11443.0,7445.0,6390.0,4345.0,2015,9
2015-09,세종,508.0,588.0,1748.0,1797.0,1797.0,588.0,49.0,80.0,2015,9
2015-09,울산,1127.0,1719.0,81.0,607.0,607.0,1719.0,526.0,592.0,2015,9
2015-09,인천,175.0,812.0,2420.0,3222.0,3222.0,812.0,802.0,637.0,2015,9
2015-09,전남,55.0,926.0,2827.0,3651.0,3651.0,926.0,824.0,871.0,2015,9
2015-09,전북,1115.0,2158.0,1951.0,2788.0,2788.0,2158.0,837.0,1043.0,2015,9
2015-09,제주,76.0,810.0,27.0,1385.0,1385.0,810.0,1358.0,734.0,2015,9
2015-09,충남,1504.0,3440.0,1851.0,4177.0,4177.0,3440.0,2326.0,1936.0,2015,9
2015-09,충북,1644.0,3149.0,1242.0,2308.0,2308.0,3149.0,1066.0,1505.0,2015,9
2015-10,강원,40.0,793.0,3798.0,4810.0,4810.0,793.0,1012.0,753.0,2015,10
2015-10,경기,12003.0,17823.0,29879.0,37881.0,37881.0,17823.0,8002.0,5820.0,2015,10
2015-10,경남,7210.0,8803.0,2430.0,4412.0,4412.0,8803.0,1982.0,1593.0,2015,10
2015-10,경북,1900.0,4183.0,3418.0,5699.0,5699.0,4183.0,2281.0,2283.0,2015,10
2015-10,광주,309.0,658.0,712.0,1108.0,1108.0,658.0,396.0,349.0,2015,10
2015-10,대구,36.0,1472.0,612.0,1903.0,1903.0,1472.0,1291.0,1436.0,2015,10
2015-10,대전,500.0,1108.0,2774.0,3369.0,3369.0,1108.0,595.0,608.0,2015,10
2015-10,부산,4745.0,5279.0,1484.0,2317.0,2317.0,5279.0,833.0,534.0,2015,10
2015-10,서울,1049.0,5903.0,12787.0,19136.0,19136.0,5903.0,6349.0,4854.0,2015,10
2015-10,세종,1813.0,1875.0,1015.0,1050.0,1050.0,1875.0,35.0,62.0,2015,10
2015-10,울산,21.0,476.0,1183.0,1801.0,1801.0,476.0,618.0,455.0,2015,10
2015-10,인천,1257.0,1697.0,6232.0,7218.0,7218.0,1697.0,986.0,440.0,2015,10
2015-10,전남,2477.0,3160.0,2344.0,3046.0,3046.0,3160.0,702.0,683.0,2015,10
2015-10,전북,1176.0,2003.0,5095.0,5980.0,5980.0,2003.0,885.0,827.0,2015,10
2015-10,제주,887.0,1584.0,132.0,1701.0,1701.0,1584.0,1569.0,697.0,2015,10
2015-10,충남,2053.0,3730.0,3143.0,4860.0,4860.0,3730.0,1717.0,1677.0,2015,10
2015-10,충북,592.0,1654.0,6967.0,8099.0,8099.0,1654.0,1132.0,1062.0,2015,10
2015-11,강원,2118.0,3158.0,982.0,1828.0,1828.0,3158.0,846.0,1040.0,2015,11
2015-11,경기,4716.0,11518.0,29020.0,36508.0,36508.0,11518.0,7488.0,6802.0,2015,11
2015-11,경남,2093.0,3874.0,731.0,2506.0,2506.0,3874.0,1775.0,1781.0,2015,11
2015-11,경북,1965.0,4262.0,4540.0,6855.0,6855.0,4262.0,2315.0,2297.0,2015,11
2015-11,광주,,491.0,636.0,1002.0,1002.0,491.0,366.0,,2015,11
2015-11,대구,2550.0,3937.0,3075.0,4255.0,4255.0,3937.0,1180.0,1387.0,2015,11
2015-11,대전,1178.0,1837.0,215.0,665.0,665.0,1837.0,450.0,659.0,2015,11
2015-11,부산,935.0,1463.0,1953.0,2642.0,2642.0,1463.0,689.0,528.0,2015,11
2015-11,서울,698.0,5076.0,2257.0,7586.0,7586.0,5076.0,5329.0,4378.0,2015,11
2015-11,세종,243.0,293.0,299.0,328.0,328.0,293.0,29.0,50.0,2015,11
2015-11,울산,569.0,1049.0,5644.0,6110.0,6110.0,1049.0,466.0,480.0,2015,11
2015-11,인천,489.0,1143.0,256.0,1301.0,1301.0,1143.0,1045.0,654.0,2015,11
2015-11,전남,717.0,1438.0,433.0,1149.0,1149.0,1438.0,716.0,721.0,2015,11
2015-11,전북,375.0,1143.0,1023.0,1731.0,1731.0,1143.0,708.0,768.0,2015,11
2015-11,제주,559.0,1436.0,140.0,1633.0,1633.0,1436.0,1493.0,877.0,2015,11
2015-11,충남,1573.0,3212.0,5944.0,7146.0,7146.0,3212.0,1202.0,1639.0,2015,11
2015-11,충북,2524.0,3732.0,1983.0,3038.0,3038.0,3732.0,1055.0,1208.0,2015,11
2015-12,강원,1957.0,3263.0,2491.0,2971.0,2971.0,3263.0,480.0,1306.0,2015,12
2015-12,경기,10864.0,19575.0,20832.0,26540.0,26540.0,19575.0,5708.0,8711.0,2015,12
2015-12,경남,2122.0,4094.0,4163.0,6527.0,6527.0,4094.0,2364.0,1972.0,2015,12
2015-12,경북,3180.0,6234.0,5103.0,6953.0,6953.0,6234.0,1850.0,3054.0,2015,12
2015-12,광주,601.0,1048.0,1628.0,1917.0,1917.0,1048.0,289.0,447.0,2015,12
2015-12,대구,5291.0,6822.0,1246.0,2140.0,2140.0,6822.0,894.0,1531.0,2015,12
2015-12,대전,83.0,738.0,208.0,537.0,537.0,738.0,329.0,655.0,2015,12
2015-12,부산,2942.0,4016.0,1434.0,1937.0,1937.0,4016.0,503.0,1074.0,2015,12
2015-12,서울,720.0,6282.0,5809.0,10364.0,10364.0,6282.0,4555.0,5562.0,2015,12
2015-12,세종,3056.0,3106.0,2429.0,2464.0,2464.0,3106.0,35.0,50.0,2015,12
2015-12,울산,1978.0,2520.0,121.0,399.0,399.0,2520.0,278.0,542.0,2015,12
2015-12,인천,1019.0,1729.0,4355.0,5030.0,5030.0,1729.0,675.0,710.0,2015,12
2015-12,전남,2134.0,3035.0,902.0,1593.0,1593.0,3035.0,691.0,901.0,2015,12
2015-12,전북,811.0,1858.0,923.0,1815.0,1815.0,1858.0,892.0,1047.0,2015,12
2015-12,제주,742.0,1887.0,1344.0,2749.0,2749.0,1887.0,1405.0,1145.0,2015,12
2015-12,충남,2186.0,4157.0,3036.0,4607.0,4607.0,4157.0,1571.0,1971.0,2015,12
2015-12,충북,1580.0,3289.0,4639.0,5380.0,5380.0,3289.0,741.0,1709.0,2015,12
2016-01,강원,0.0,808.0,1142.0,1569.0,1569.0,808.0,427.0,808.0,2016,1
2016-01,경기,4254.0,10299.0,2656.0,7252.0,7252.0,10299.0,4596.0,6045.0,2016,1
2016-01,경남,3391.0,5476.0,221.0,1824.0,1824.0,5476.0,1603.0,2085.0,2016,1
2016-01,경북,688.0,3257.0,1098.0,2341.0,2341.0,3257.0,1243.0,2569.0,2016,1
2016-01,광주,623.0,1234.0,2185.0,2448.0,2448.0,1234.0,263.0,611.0,2016,1
2016-01,대구,2216.0,3778.0,1927.0,2773.0,2773.0,3778.0,846.0,1562.0,2016,1
2016-01,대전,143.0,935.0,160.0,537.0,537.0,935.0,377.0,792.0,2016,1
2016-01,부산,859.0,1519.0,1476.0,1883.0,1883.0,1519.0,407.0,660.0,2016,1
2016-01,서울,3807.0,8558.0,3226.0,6670.0,6670.0,8558.0,3444.0,4751.0,2016,1
2016-01,세종,773.0,805.0,,61.0,61.0,805.0,,32.0,2016,1
2016-01,울산,0.0,486.0,684.0,1042.0,1042.0,486.0,358.0,486.0,2016,1
2016-01,인천,313.0,834.0,604.0,1054.0,1054.0,834.0,450.0,521.0,2016,1
2016-01,전남,341.0,1148.0,450.0,943.0,943.0,1148.0,493.0,807.0,2016,1
2016-01,전북,1175.0,1937.0,328.0,855.0,855.0,1937.0,527.0,762.0,2016,1
2016-01,제주,282.0,1274.0,447.0,1915.0,1915.0,1274.0,1468.0,992.0,2016,1
2016-01,충남,2875.0,4325.0,3278.0,4444.0,4444.0,4325.0,1166.0,1450.0,2016,1
2016-01,충북,1482.0,2538.0,51.0,653.0,653.0,2538.0,602.0,1056.0,2016,1
