시도,연월,KB_매수우위지수,KB_매매거래지수,KB_전세수급지수,연도,월
강원,2022-05,99.292661,16.245141,171.979671,2022,5
경기,2022-05,38.079748,4.196448,130.877263,2022,5
경남,2022-05,65.687709,12.024489,145.195804,2022,5
경북,2022-05,55.197022,11.000916,174.63646,2022,5
광주,2022-05,38.241874,4.626607,138.078742,2022,5
대구,2022-05,20.733332,0.480671,105.54885,2022,5
대전,2022-05,26.939758,2.731629,116.65318,2022,5
부산,2022-05,37.560448,2.783734,133.319488,2022,5
서울,2022-05,59.697449,3.966634,135.013974,2022,5
세종,2022-05,3.571429,3.571429,89.285714,2022,5
울산,2022-05,31.987127,14.906557,137.849687,2022,5
인천,2022-05,26.221214,2.062387,134.642235,2022,5
전남,2022-05,12.216372,6.638076,164.942534,2022,5
전북,2022-05,69.48697,13.473667,167.716647,2022,5
제주,2022-05,79.166667,4.166667,158.333333,2022,5
충남,2022-05,63.88626,10.598569,173.84978,2022,5
충북,2022-05,85.418337,20.927989,148.661937,2022,5
강원,2022-06,93.203925,15.662197,160.415189,2022,6
경기,2022-06,31.863098,2.747319,127.281576,2022,6
경남,2022-06,63.661619,8.760675,144.691113,2022,6
경북,2022-06,59.96812,16.895619,169.589899,2022,6
광주,2022-06,32.935727,7.447757,139.161053,2022,6
대구,2022-06,17.843474,1.075357,93.133284,2022,6
대전,2022-06,27.990739,2.031541,115.146627,2022,6
부산,2022-06,29.335594,0.584617,133.322329,2022,6
서울,2022-06,41.633554,3.587079,128.03398,2022,6
세종,2022-06,7.407407,3.703704,107.407407,2022,6
울산,2022-06,25.040017,11.009631,126.576842,2022,6
인천,2022-06,24.649154,2.02071,129.455846,2022,6
전남,2022-06,27.022354,1.436417,167.986275,2022,6
전북,2022-06,71.69537,11.09168,158.45898,2022,6
제주,2022-06,65.217391,0.0,160.869565,2022,6
충남,2022-06,64.991431,8.890934,172.558963,2022,6
충북,2022-06,75.828971,26.164154,139.793858,2022,6
강원,2022-07,72.847761,9.619784,151.471616,2022,7
경기,2022-07,25.820032,1.678164,110.778508,2022,7
경남,2022-07,54.279894,8.872923,149.853799,2022,7
경북,2022-07,35.500601,7.313768,176.396295,2022,7
광주,2022-07,37.096739,2.340369,99.815587,2022,7
대구,2022-07,16.376573,0.0,94.116842,2022,7
대전,2022-07,16.164851,2.115076,105.38769,2022,7
부산,2022-07,23.605387,0.959561,120.565039,2022,7
서울,2022-07,33.011259,0.885952,120.945865,2022,7
세종,2022-07,11.111111,3.703704,74.074074,2022,7
울산,2022-07,27.981126,6.015196,118.814351,2022,7
인천,2022-07,17.998092,1.987526,109.04176,2022,7
전남,2022-07,27.397221,4.879668,152.662951,2022,7
전북,2022-07,40.918326,3.730408,134.534628,2022,7
제주,2022-07,76.470588,11.764706,147.058824,2022,7
충남,2022-07,54.030541,6.149483,152.456545,2022,7
충북,2022-07,64.469395,8.372226,152.235043,2022,7
강원,2022-08,70.165972,4.330985,138.003484,2022,8
경기,2022-08,20.369379,0.515036,99.157576,2022,8
경남,2022-08,52.715392,2.747144,150.278591,2022,8
경북,2022-08,33.760521,7.202834,163.132771,2022,8
광주,2022-08,11.597942,0.0,93.575525,2022,8
대구,2022-08,13.127267,0.851989,83.7986,2022,8
대전,2022-08,14.844354,0.0,86.57216,2022,8
부산,2022-08,19.893533,1.127423,109.502013,2022,8
서울,2022-08,31.926237,0.713519,108.941555,2022,8
세종,2022-08,7.142857,3.571429,78.571429,2022,8
울산,2022-08,24.93174,1.932309,121.623205,2022,8
인천,2022-08,21.689594,0.863857,104.46553,2022,8
전남,2022-08,25.73961,5.976577,141.666514,2022,8
전북,2022-08,28.769657,2.358559,136.154355,2022,8
제주,2022-08,47.826087,0.0,139.130435,2022,8
충남,2022-08,47.424266,2.68106,144.350542,2022,8
충북,2022-08,26.714229,3.271296,147.672313,2022,8
강원,2022-09,59.075064,1.247118,140.104116,2022,9
경기,2022-09,16.541529,0.884084,89.276801,2022,9
경남,2022-09,38.596615,5.067508,133.627506,2022,9
경북,2022-09,30.632089,2.077251,167.971732,2022,9
광주,2022-09,16.522813,0.0,77.458209,2022,9
대구,2022-09,7.847751,0.0,75.219823,2022,9
대전,2022-09,12.781141,0.502225,73.098942,2022,9
부산,2022-09,15.496252,0.672966,97.686664,2022,9
서울,2022-09,24.853175,0.847218,93.261852,2022,9
세종,2022-09,14.814815,3.703704,85.185185,2022,9
울산,2022-09,19.800411,3.569575,123.180308,2022,9
인천,2022-09,19.890175,1.443649,95.301879,2022,9
전남,2022-09,32.808302,1.921251,146.077477,2022,9
전북,2022-09,28.272145,2.557789,120.204529,2022,9
제주,2022-09,32.193142,0.0,145.120714,2022,9
충남,2022-09,33.705515,4.202967,133.869887,2022,9
충북,2022-09,21.58797,3.294546,149.606365,2022,9
강원,2022-10,47.261903,4.959979,138.467472,2022,10
