연도,시도,전가구 평균,가구_부채평균,가구_소득평균,가구_자산평균,가구_순자산,DSR
2020,제주,1.2610747922,,,1.2610747922,,
2020,충남,4.2914993884,,,4.2914993884,,
2020,충북,3.2319840527,,,3.2319840527,,
2021,강원,3.1442245567,,,3.1442245567,,
2021,경기,24.4808528923,,,24.4808528923,,
2021,경남,6.5233208726,,,6.5233208726,,
2021,경북,5.4226970304,,,5.4226970304,,
2021,광주,2.8924251469,,,2.8924251469,,
2021,대구,4.7092109424,,,4.7092109424,,
2021,대전,2.9866214535,,,2.9866214535,,
2021,부산,6.6711904549,,,6.6711904549,,
2021,서울,18.8086813843,,,18.8086813843,,
2021,세종,0.6734797089,,,0.6734797089,,
2021,울산,2.1243884502,,,2.1243884502,,
2021,인천,5.4938730971,,,5.4938730971,,
2021,전남,3.6229704854,,,3.6229704854,,
2021,전북,3.6013247337,,,3.6013247337,,
2021,제주,1.2796338675,,,1.2796338675,,
2021,충남,4.3178522423,,,4.3178522423,,
2021,충북,3.2472526808,,,3.2472526808,,
2022,강원,3.1588264323,,,3.1588264323,,
2022,경기,24.363271806,,,24.363271806,,
2022,경남,6.4518262216,,,6.4518262216,,
2022,경북,5.4084902549,,,5.4084902549,,
2022,광주,2.8634097369,,,2.8634097369,,
2022,대구,4.7108046104,,,4.7108046104,,
2022,대전,3.0162777041,,,3.0162777041,,
2022,부산,6.714085561,,,6.714085561,,
2022,서울,19.0296995044,,,19.0296995044,,
2022,세종,0.6647282557,,,0.6647282557,,
2022,울산,2.1221079856,,,2.1221079856,,
2022,인천,5.4819898357,,,5.4819898357,,
2022,전남,3.6389756395,,,3.6389756395,,
2022,전북,3.6105756433,,,3.6105756433,,
2022,제주,1.2570916283,,,1.2570916283,,
2022,충남,4.2635569872,,,4.2635569872,,
2022,충북,3.244282193,,,3.244282193,,
2023,강원,3.1455463997,,,3.1455463997,,
2023,경기,24.8327601072,,,24.8327601072,,
2023,경남,6.3958817201,,,6.3958817201,,
2023,경북,5.3565365856,,,5.3565365856,,
2023,광주,2.8624344076,,,2.8624344076,,
2023,대구,4.6424955455,,,4.6424955455,,
2023,대전,2.9690837313,,,2.9690837313,,
2023,부산,6.6494799117,,,6.6494799117,,
2023,서울,18.8247930807,,,18.8247930807,,
2023,세종,0.7073711509,,,0.7073711509,,
2023,울산,2.0850937301,,,2.0850937301,,
2023,인천,5.5697571421,,,5.5697571421,,
2023,전남,3.6036694864,,,3.6036694864,,
2023,전북,3.5716797422,,,3.5716797422,,
2023,제주,1.2686294668,,,1.2686294668,,
2023,충남,4.2775350092,,,4.2775350092,,
2023,충북,3.2372527829,,,3.2372527829,,
2024,강원,,5253.0353086887,6077.0687860156,39555.4294772225,34302.3941685338,86.44028056382797
2024,경기,,12261.2002746344,8231.2291466288,65945.1017829533,53683.90150831889,148.95953029877833
2024,경남,,5740.8062900884,6194.0864434571,38053.0719463369,32312.265656248503,92.68204992767728
2024,경북,,5372.659029212,6367.8019346388,38373.8859412323,33001.2269120203,84.37226980924859
2024,광주,,6497.7611173809,6573.2537544236,41798.8352530534,35301.074135672505,98.8515179869346
2024,대구,,8396.2843282036,6457.5486212406,43997.4698636058,35601.185535402205,130.02278140943423
2024,대전,,8871.6003403147,7137.8430137113,48422.1902239902,39550.58988367549,124.289653376699
2024,부산,,8048.2248203913,6259.0546340214,45287.4130003935,37239.1881800022,128.58531025827412
2024,서울,,11465.9903635668,7696.4504387428,76173.3508558539,64707.3604922871,148.97764176910297
2024,세종,,14263.9148259266,9616.7945622298,76662.5653216533,62398.650495726695,148.32296493000362
2024,울산,,7048.7090728552,7852.764833931,45149.5670899335,38100.8580170783,89.7608577605488
2024,인천,,8673.4153438881,6514.9880652149,39955.7030315212,31282.287687633103,133.13018008732152
2024,전남,,5471.116587132,6608.6145743048,36586.2842068102,31115.167619678203,82.7876482372637
2024,전북,,6294.8599670749,6290.6259005927,37116.6225860536,30821.7626189787,100.0673075549096
2024,제주,,7593.235572748,6774.9014862279,52400.945206131,44807.709633383,112.07890754107082
2024,충남,,6244.9410543242,6519.135012564,35915.3870776276,29670.4460233034,95.79401319789574
2024,충북,,6481.260158935,6938.9470935973,41099.9167072098,34618.6565482748,93.4040866937202
2025,강원,,5969.684233673,6478.9341897677,44369.7685712271,38400.0843375541,92.13991157837398
2025,경기,,12709.3357206085,8487.6770748047,68715.6524994035,56006.316778795,149.73868125044024
2025,경남,,6048.6754085347,6392.4087009933,38683.264909327,32634.589500792303,94.62278917796372
2025,경북,,5639.2325642422,6490.0246158949,39589.5693533748,33950.3367891326,86.89077311711574
2025,광주,,6729.3847864628,6708.3488310586,42386.7128689817,35657.3280825189,100.31357873500563
2025,대구,,7351.7852059535,6537.393489526,42217.2657171734,34865.4805112199,112.45743762758494
2025,대전,,9121.1688005076,7587.7903380653,48795.5639538615,39674.3951533539,120.2084980491603
2025,부산,,8544.3305087786,6349.4871306964,45384.5048464799,36840.1743377013,134.56725453417013
2025,서울,,12361.5134565769,8163.9596832541,83649.3538392771,71287.8403827002,151.4156602455156
2025,세종,,14563.699697341,9482.3384769315,75211.3392231788,60647.6395258378,153.58763803645445
2025,울산,,6865.7494641023,8206.8167659908,46106.2025473037,39240.4530832014,83.65910510582
2025,인천,,8502.995492831,6335.3368575764,38940.1046261241,30437.1091332931,134.21536508610913
2025,전남,,5113.2138332024,6764.4115093108,36753.6199229587,31640.4060897563,75.58992864588993
2025,전북,,6833.8126012328,6587.1834862726,40502.4604941194,33668.6478928866,103.7440753771952
2025,제주,,7843.2391205323,6854.8012251881,55945.7756673631,48102.5365468308,114.41964344220756
2025,충남,,7451.3191621705,6882.0696251595,39460.376954248,32009.0577920775,108.27148761950816
2025,충북,,6981.5112792054,6980.1189576412,43588.673833078,36607.1625538726,100.0199469603978
