연도,소득분위,가구_금융부채,가구_금융자산,가구_부채평균,가구_소득평균,가구_순자산,가구_실물자산,가구_임대보증금,가구_자산평균,DSR
2023,전체,6694.1300009901,12586.6215143143,9186.398277228,6762.4612582631,43540.3837191858,40140.1604820994,2492.2682762378,52726.7819964137,135.84400599712234
2024,소득1분위,1380.108012532,3705.1248324896,1974.5623773568,1505.1919578922,14973.8931059384,13243.3306508056,594.4543648248,16948.4554832952,131.18342594135862
2024,소득2분위,3565.759154064,7550.0444569843,4625.1855021167,3511.6747022701,23742.1044550332,20817.2455001657,1059.4263480527,28367.2899571499,131.70882539680505
2024,소득3분위,5789.8905723256,10547.5986183275,7332.5292211125,5700.0249209918,33722.4156892749,30507.3462920598,1542.6386487868,41054.9449103873,128.64030109953703
2024,소득4분위,8670.637793437,14340.7292334011,11177.4755062428,8604.8363380293,48766.6779611558,45603.4242339974,2506.8377128058,59944.1534673985,129.89759557475432
2024,소득5분위,13778.1027565264,30742.4782000405,20528.6997788421,16601.7403727805,103251.534864841,93037.7564436426,6750.5970223157,123780.2346436831,123.65390204812547
2024,전체,6637.2908202955,13378.012545673,9128.2530694691,7185.1514023222,44893.8933169702,40644.1338407663,2490.9622491736,54022.1463864393,127.04329468296103
2025,소득1분위,1210.2553797623,3873.8399877302,1669.1647836463,1551.960481012,14243.9080811839,12039.2328770999,458.9094038839,15913.0728648301,107.5520159223303
2025,소득2분위,3252.3163465359,7381.1849111567,4387.5404200189,3585.7736604996,24528.7450899421,21535.1005988043,1135.224073483,28916.285509961,122.35965890294344
2025,소득3분위,6193.8719301626,11181.6249456878,8059.4215990086,5804.5184614212,34456.4846461472,31334.281299468,1865.549668846,42515.9062451558,138.84737644602652
2025,소득4분위,8365.835541478,14564.8244442348,11255.6491955616,8847.0134742542,51066.2855475281,47757.1102988549,2889.8136540836,62321.9347430897,127.22541034120498
2025,소득5분위,14943.8753283615,31432.6053141365,22286.2724011538,17338.3725775139,111365.0129778443,102218.6800648616,7342.3970727923,133651.2853789981,128.5372793872063
2025,전체,6794.6029683861,13689.8461080871,9533.799766482,7427.3160704022,47143.7032368247,42987.6568952197,2739.1967980959,56677.5030033068,128.361304084986
