연월,시도,지가변동률,연도,월
2013-05,대전,0.02,2013,5
2013-05,부산,0.142,2013,5
2013-05,서울,0.152,2013,5
2013-05,세종,0.502,2013,5
2013-05,울산,0.129,2013,5
2013-05,인천,0.12,2013,5
2013-05,전국,0.13,2013,5
2013-05,전남,0.076,2013,5
2013-05,전북,0.051,2013,5
2013-05,제주,0.157,2013,5
2013-05,충남,0.063,2013,5
2013-05,충북,0.099,2013,5
2013-06,강원,0.126,2013,6
2013-06,경기,0.089,2013,6
2013-06,경남,0.166,2013,6
2013-06,경북,0.139,2013,6
2013-06,광주,0.076,2013,6
2013-06,대구,0.176,2013,6
2013-06,대전,0.144,2013,6
2013-06,부산,0.202,2013,6
2013-06,서울,0.097,2013,6
2013-06,세종,0.229,2013,6
2013-06,울산,0.166,2013,6
2013-06,인천,0.112,2013,6
2013-06,전국,0.105,2013,6
2013-06,전남,0.03,2013,6
2013-06,전북,0.051,2013,6
2013-06,제주,-0.008,2013,6
2013-06,충남,0.083,2013,6
2013-06,충북,0.087,2013,6
2013-07,강원,0.082,2013,7
2013-07,경기,0.05,2013,7
2013-07,경남,0.093,2013,7
2013-07,경북,0.089,2013,7
2013-07,광주,-0.055,2013,7
2013-07,대구,0.044,2013,7
2013-07,대전,-0.027,2013,7
2013-07,부산,0.062,2013,7
2013-07,서울,-0.039,2013,7
2013-07,세종,0.388,2013,7
2013-07,울산,-0.023,2013,7
2013-07,인천,-0.013,2013,7
2013-07,전국,0.019,2013,7
2013-07,전남,0.042,2013,7
2013-07,전북,0.024,2013,7
2013-07,제주,-0.059,2013,7
2013-07,충남,0.041,2013,7
2013-07,충북,0.058,2013,7
2013-08,강원,0.078,2013,8
2013-08,경기,-0.019,2013,8
2013-08,경남,0.013,2013,8
2013-08,경북,0.094,2013,8
2013-08,광주,0.012,2013,8
2013-08,대구,0.092,2013,8
2013-08,대전,0.023,2013,8
2013-08,부산,0.006,2013,8
2013-08,서울,-0.026,2013,8
2013-08,세종,0.205,2013,8
2013-08,울산,-0.004,2013,8
2013-08,인천,0.023,2013,8
2013-08,전국,0.001,2013,8
2013-08,전남,0.015,2013,8
2013-08,전북,-0.013,2013,8
