지역코드,시도,시군구,레벨,연도,1인당결정세액_백만원,1인당총급여_백만원,결정세액_금액,결정세액_인원,과세표준_금액,과세표준_인원,급여총계_금액,급여총계_인원,총급여_금액,총급여_인원
A0702,충남,공주시,시군구,2016,1.7956831900493873,28.926059962150138,29451,16401,434392,25919,876200,30353,871224,30119
A0703,충남,금산군,시군구,2016,1.5629241209130167,27.52376245778766,10134,6484,162209,10525,335994,12232,334166,12141
A0704,충남,논산시,시군구,2016,1.453370046689812,26.89364352673705,24280,16706,411759,27482,870551,32241,863528,32109
A0705,충남,당진시,시군구,2016,2.2087328432057696,35.07464509505434,79013,35773,1051867,50431,1990227,56891,1981507,56494
A0706,충남,보령시,시군구,2016,2.023010794389503,29.82756430612893,31298,15471,429803,24361,852415,28583,845343,28341
A0707,충남,부여군,시군구,2016,1.6111460561076865,26.753406341525533,12807,7949,204556,13072,422577,15843,420189,15706
A0708,충남,서산시,시군구,2016,3.3294681417499854,38.45247926198713,112556,33806,1155260,47839,2079224,54155,2067436,53766
A0709,충남,서천군,시군구,2016,1.5987152034261245,29.11360698125404,11199,7005,179412,10768,362458,12428,360310,12376
A0710,충남,아산시,시군구,2016,2.756935985925024,36.07925110723393,203710,73890,2346476,106065,4321241,119789,4301224,119216
A0711,충남,예산군,시군구,2016,1.489689828452608,27.43448870990939,17194,11542,280497,18143,576670,21388,572256,20859
A0712,충남,천안시,시군구,2016,2.495104798676228,33.95032360061262,361890,145040,4379878,214740,8288006,244323,8246262,242892
A0713,충남,청양군,시군구,2016,1.6745607333842627,28.17717801706055,6576,3927,99270,6174,202238,7176,201495,7151
A0714,충남,태안군,시군구,2016,2.1202439347739626,29.848793603622727,15993,7543,214840,12074,425301,14470,421853,14133
A0715,충남,홍성군,시군구,2016,1.7607816292239715,29.90716409653551,28294,16069,427133,25040,870231,29138,864975,28922
A0901,광주,광산구,시군구,2016,2.283712556100616,31.84046220768325,175042,76648,2288480,124115,4548955,142716,4516283,141841
A0902,광주,남구,시군구,2016,3.0890577422689054,33.1484126984127,110579,35797,1173956,58352,2229297,67147,2213651,66780
A0903,광주,동구,시군구,2016,2.880780681442276,30.941143280318794,43543,15115,463777,24019,883860,28546,877398,28357
A0904,광주,북구,시군구,2016,2.260900140646976,30.14818190299177,163965,72522,2119192,120671,4229486,140116,4201119,139349
A0905,광주,서구,시군구,2016,3.0997389601914294,33.89655752799422,170994,55164,1832384,87892,3444090,101606,3423654,101003
A1001,전북,고창군,시군구,2016,1.6755136986301369,27.853664876104663,9785,5840,155120,10016,323424,11604,321487,11542
A1002,전북,군산시,시군구,2016,2.1260264039072663,32.24272430137614,99683,46887,1371492,73074,2690361,83629,2673341,82913
A1003,전북,김제시,시군구,2016,1.3193220988127154,25.28626583172466,13779,10444,252108,17764,540959,21611,537055,21239
A1004,전북,남원시,시군구,2016,1.6169502476846866,27.169148549784676,15015,9286,249239,16389,527336,19602,523631,19273
A1005,전북,무주군,시군구,2016,1.5547945205479452,26.337632508833924,4086,2628,70047,4579,149872,5696,149071,5660
A1006,전북,부안군,시군구,2016,1.446655231560892,26.467624086671705,8434,5830,148057,10199,317514,12194,315150,11907
