연월,시도,미분양_호수,연도,월
2009-04,전남,5843,2009,4
2009-04,전북,4876,2009,4
2009-04,제주,425,2009,4
2009-04,충남,17939,2009,4
2009-04,충북,7403,2009,4
2009-05,강원,9249,2009,5
2009-05,경기,23192,2009,5
2009-05,경남,12124,2009,5
2009-05,경북,14929,2009,5
2009-05,광주,8565,2009,5
2009-05,대구,19851,2009,5
2009-05,대전,3012,2009,5
2009-05,부산,13602,2009,5
2009-05,서울,2136,2009,5
2009-05,세종,0,2009,5
2009-05,울산,7991,2009,5
2009-05,인천,2016,2009,5
2009-05,전남,6178,2009,5
2009-05,전북,4643,2009,5
2009-05,제주,400,2009,5
2009-05,충남,17229,2009,5
2009-05,충북,6821,2009,5
2009-06,강원,8987,2009,6
2009-06,경기,21699,2009,6
2009-06,경남,11988,2009,6
2009-06,경북,14233,2009,6
2009-06,광주,8209,2009,6
2009-06,대구,19257,2009,6
2009-06,대전,3696,2009,6
2009-06,부산,12685,2009,6
2009-06,서울,2085,2009,6
2009-06,세종,0,2009,6
2009-06,울산,8032,2009,6
2009-06,인천,1840,2009,6
2009-06,전남,5789,2009,6
2009-06,전북,4395,2009,6
2009-06,제주,365,2009,6
2009-06,충남,16063,2009,6
2009-06,충북,6262,2009,6
2009-07,강원,8788,2009,7
2009-07,경기,20248,2009,7
2009-07,경남,11430,2009,7
2009-07,경북,13943,2009,7
2009-07,광주,7264,2009,7
2009-07,대구,18473,2009,7
2009-07,대전,3428,2009,7
2009-07,부산,12253,2009,7
2009-07,서울,2060,2009,7
2009-07,세종,0,2009,7
2009-07,울산,7962,2009,7
2009-07,인천,1702,2009,7
2009-07,전남,5510,2009,7
2009-07,전북,4206,2009,7
2009-07,제주,332,2009,7
2009-07,충남,16342,2009,7
2009-07,충북,6245,2009,7
2009-08,강원,8577,2009,8
2009-08,경기,19738,2009,8
2009-08,경남,10948,2009,8
2009-08,경북,13582,2009,8
2009-08,광주,6799,2009,8
2009-08,대구,17920,2009,8
2009-08,대전,3150,2009,8
2009-08,부산,11451,2009,8
2009-08,서울,1960,2009,8
2009-08,세종,0,2009,8
2009-08,울산,7769,2009,8
2009-08,인천,1664,2009,8
2009-08,전남,5376,2009,8
2009-08,전북,3899,2009,8
2009-08,제주,324,2009,8
2009-08,충남,14595,2009,8
2009-08,충북,6027,2009,8
2009-09,강원,7817,2009,9
2009-09,경기,17534,2009,9
2009-09,경남,10340,2009,9
2009-09,경북,13311,2009,9
2009-09,광주,6102,2009,9
2009-09,대구,17043,2009,9
2009-09,대전,3300,2009,9
2009-09,부산,10436,2009,9
2009-09,서울,1887,2009,9
2009-09,세종,0,2009,9
2009-09,울산,7478,2009,9
2009-09,인천,1541,2009,9
2009-09,전남,5380,2009,9
2009-09,전북,4194,2009,9
2009-09,제주,298,2009,9
2009-09,충남,14195,2009,9
2009-09,충북,5568,2009,9
2009-10,강원,7530,2009,10
2009-10,경기,16638,2009,10
2009-10,경남,9427,2009,10
2009-10,경북,12678,2009,10
2009-10,광주,5751,2009,10
2009-10,대구,16467,2009,10
2009-10,대전,2928,2009,10
2009-10,부산,9891,2009,10
2009-10,서울,1778,2009,10
2009-10,세종,0,2009,10
2009-10,울산,7488,2009,10
2009-10,인천,1432,2009,10
2009-10,전남,5067,2009,10
2009-10,전북,3954,2009,10
2009-10,제주,327,2009,10
2009-10,충남,13656,2009,10
2009-10,충북,5425,2009,10
2009-11,강원,7353,2009,11
2009-11,경기,16473,2009,11
2009-11,경남,8818,2009,11
2009-11,경북,12525,2009,11
2009-11,광주,4974,2009,11
2009-11,대구,16119,2009,11
2009-11,대전,2776,2009,11
2009-11,부산,9287,2009,11
2009-11,서울,1814,2009,11
2009-11,세종,0,2009,11
2009-11,울산,8025,2009,11
2009-11,인천,4578,2009,11
2009-11,전남,6232,2009,11
