연월,시도,기타대출_잔액,주담대_잔액,주담대_증감률,주담대_비중,연도,월
2007-10,경북,3209.1,3276.4,0.38912890277906786,50.51884974173155,2007,10
2007-10,광주,2748.0,3682.2,2.3714865578692734,57.26415974619763,2007,10
2007-10,대구,4406.0,9337.1,0.5026694221992756,67.94027548369728,2007,10
2007-10,대전,3332.3,5115.7,-0.09569191110417874,60.55516098484848,2007,10
2007-10,부산,7055.5,14346.2,0.5191947926373786,67.03299270618689,2007,10
2007-10,서울,48573.8,98712.3,0.02898148326422323,67.02078471763458,2007,10
2007-10,울산,1595.7,3673.5,-1.5596109011978387,69.71646549760875,2007,10
2007-10,인천,3931.3,14910.5,0.0650971759905472,79.13522062647942,2007,10
2007-10,전남,2538.4,1560.0,0.04489193869043895,38.06363458910795,2007,10
2007-10,전북,2948.8,2745.6,0.41694096993636354,48.21579095251475,2007,10
2007-10,제주,1404.6,641.7,-1.216133004926101,31.359038264184143,2007,10
2007-10,충남,3334.3,4908.7,1.2353572017818726,59.54992114521412,2007,10
2007-10,충북,1988.0,3051.1,1.1403188915039664,60.54851064674247,2007,10
2007-11,강원,2590.0,2770.9,0.7087301010394675,51.68721669868865,2007,11
2007-11,경기,21735.3,69138.9,0.676233536465487,76.08199026786481,2007,11
2007-11,경남,4824.6,7626.7,0.9878047165688963,61.25223872206115,2007,11
2007-11,경북,3272.4,3321.3,1.370406543767544,50.37080849902179,2007,11
2007-11,광주,2786.3,3663.4,-0.5105643365379331,56.79954106392545,2007,11
2007-11,대구,4473.0,9349.8,0.136016536183603,67.64042017536245,2007,11
2007-11,대전,3393.0,5109.6,-0.11924076861425936,60.09455931126949,2007,11
2007-11,부산,7169.0,14494.3,1.0323291185122097,66.90716557495857,2007,11
2007-11,서울,49473.7,98990.5,0.2818291134944584,66.67634352254616,2007,11
2007-11,울산,1632.7,3658.9,-0.3974411324350058,69.14543805276287,2007,11
2007-11,인천,3976.1,14969.8,0.3977063143422388,79.0134013163798,2007,11
2007-11,전남,2565.9,1575.4,0.9871794871795014,38.0411947939053,2007,11
2007-11,전북,3001.4,2773.4,1.012529137529139,48.025905659070446,2007,11
2007-11,제주,1424.3,632.8,-1.3869409381330966,30.761751980944048,2007,11
2007-11,충남,3396.0,5070.1,3.288039603153603,59.88707905647228,2007,11
2007-11,충북,2024.7,3091.5,1.3241126151224192,60.42570657910168,2007,11
2007-12,강원,2599.8,2744.4,-0.9563679670865022,51.35286853036936,2007,12
2007-12,경기,21859.6,69155.9,0.024588184075824415,75.98255242238959,2007,12
2007-12,경남,4877.5,7667.0,0.5284067814388838,61.11841843038782,2007,12
2007-12,경북,3274.2,3317.4,-0.11742390028001148,50.32768978700164,2007,12
2007-12,광주,2823.5,3693.0,0.8079925752033645,56.67152612598788,2007,12
2007-12,대구,4499.5,9349.3,-0.005347707972358506,67.50982034544509,2007,12
2007-12,대전,3374.3,5047.9,-1.2075309221857067,59.93564626819595,2007,12
2007-12,부산,7105.7,14467.5,-0.1849002711410641,67.0623736858695,2007,12
2007-12,서울,49440.3,98375.1,-0.6216758173764103,66.55267313148697,2007,12
2007-12,울산,1636.9,3660.1,0.032796742190277506,69.09760241646214,2007,12
2007-12,인천,4003.1,15121.5,1.0133735921655562,79.06832038317143,2007,12
2007-12,전남,2542.4,1607.6,2.0439253522914758,38.73734939759036,2007,12
2007-12,전북,3012.3,2761.5,-0.4290762241292323,47.82812012885794,2007,12
2007-12,제주,1448.4,625.4,-1.1694058154235076,30.157199344199054,2007,12
2007-12,충남,3395.7,5089.2,0.3767184079209285,59.97949298164975,2007,12
2007-12,충북,2024.3,3080.6,-0.35257965388969525,60.3459421340281,2007,12
2008-01,강원,2553.5,2754.1,0.3534470193849337,51.88974301002336,2008,1
2008-01,경기,21808.7,69510.7,0.5130437171665836,76.11821803472209,2008,1
2008-01,경남,4795.2,7602.2,-0.8451806443198095,61.320922128833466,2008,1
2008-01,경북,3208.0,3314.0,-0.10248990173027384,50.81263416130022,2008,1
2008-01,광주,2706.6,3759.6,1.803411860276194,58.14234016887817,2008,1
2008-01,대구,4423.6,9285.1,-0.6866824254222137,67.7314406180017,2008,1
2008-01,대전,3348.2,4979.9,-1.3470948315140951,59.79635210912454,2008,1
2008-01,부산,7083.0,14446.6,-0.14446172455503392,67.10110731272295,2008,1
