시도코드,시도,연도,총인구,세대수,주택수,평균연령,노령화지수,노년부양비,유소년부양비,종사자수,사업체수,인구밀도
21,부산,2022,3295760,1447825,1197794,45.4,209.5,31.1,14.8,1535226,381127,4200.1
22,대구,2022,2388649,1022019,801562,44.1,167.7,26.3,15.7,1008127,263360,1600.3
23,인천,2022,2989125,1212731,1015801,42.7,132.2,21.2,16.0,1226658,293588,2693.3
24,광주,2022,1468972,623252,515980,41.8,124.2,21.3,17.2,665622,161293,2949.6
25,대전,2022,1473662,646474,483916,42.0,136.9,21.7,15.8,685044,154143,2731.7
26,울산,2022,1110516,453998,370586,42.4,114.0,20.0,17.6,542760,110792,1044.6
29,세종,2022,382589,154019,137890,37.2,53.3,14.2,26.5,157146,32057,823.1
31,경기,2022,13717827,5406963,4463106,41.9,116.2,19.9,17.1,6018236,1429970,1326.8
32,강원,2022,1528037,684895,585022,46.1,214.3,33.2,15.5,718624,194442,90.9
33,충북,2022,1624993,704864,590450,44.2,169.7,27.5,16.2,828407,186942,219.3
34,충남,2022,2193214,931370,793298,44.1,166.1,28.5,17.1,1080290,254458,265.4
35,전북,2022,1774248,777680,665192,45.8,210.1,34.0,16.2,784722,222144,217.9
36,전남,2022,1771431,784645,704354,47.2,225.9,38.4,17.0,854674,228761,142.4
37,경북,2022,2598576,1155121,970716,46.3,217.1,34.3,15.8,1227695,314387,141.1
38,경남,2022,3280829,1392608,1177046,44.5,158.5,27.6,17.4,1511859,379862,310.8
39,제주,2022,676375,276225,220701,42.6,122.8,24.0,19.5,314884,90799,362.7
11,서울,2023,9384512,4141659,3047650,43.9,204.0,25.1,12.3,5699761,1082949,15503.9
21,부산,2023,3279604,1462404,1215110,45.9,227.7,33.0,14.5,1516448,362880,4179.5
22,대구,2023,2379188,1033238,819613,44.7,181.8,27.8,15.3,999816,257165,1593.9
23,인천,2023,3025950,1242168,1046886,43.3,144.8,22.6,15.6,1225102,289393,2726.5
24,광주,2023,1457090,627602,519962,42.4,136.7,22.7,16.6,661840,157099,2925.8
25,대전,2023,1470336,654809,488727,42.5,150.3,23.0,15.3,694651,153032,2725.5
26,울산,2023,1107431,458129,374985,43.1,128.4,21.7,16.9,541419,106775,1041.7
29,세종,2023,386261,156444,140526,37.7,57.9,14.8,25.5,161725,32258,831.0
31,경기,2023,13815367,5500024,4573733,42.5,128.3,21.1,16.5,6053555,1425775,1336.2
32,강원,2023,1528014,698410,592277,46.6,234.7,35.2,15.0,725110,196651,90.9
33,충북,2023,1641481,720231,602237,44.6,185.4,28.7,15.5,827912,186467,221.6
34,충남,2023,2216332,948631,812540,44.5,179.5,29.3,16.3,1081364,257316,268.2
35,전북,2023,1768491,786775,674209,46.4,228.0,35.3,15.5,780532,221557,217.2
36,전남,2023,1776668,793249,713772,47.6,242.8,39.5,16.3,868921,224160,142.8
37,경북,2023,2589880,1166594,977916,46.9,236.8,35.9,15.2,1236039,309794,140.6
38,경남,2023,3271149,1404476,1188246,45.1,175.7,29.2,16.6,1517667,369779,309.9
39,제주,2023,676767,278315,222991,43.3,134.9,25.1,18.6,321869,92352,362.9
11,서울,2024,9335444,4159502,3067776,44.3,222.0,26.6,12.0,5674626,1079304,15422.8
21,부산,2024,3257256,1470562,1227697,46.5,247.3,35.2,14.2,1525476,364695,4151.0
22,대구,2024,2369336,1043730,839266,45.3,197.5,29.8,15.1,994179,260331,1587.3
23,인천,2024,3058033,1268133,1067731,43.8,158.0,24.3,15.4,1241031,298996,2755.4
