시군구코드,시군구,시도코드,시도,연도,총인구,남자인구,여자인구,20대,남_20대,여_20대,30대,남_30대,여_30대,40대,남_40대,여_40대,50대이상,남_50대이상,여_50대이상
51210,속초시,51,강원,2020,82665,40965,41700,9018,5094,3924,9199,4928,4271,12482,6211,6271,38629,17888,20741
51210,속초시,51,강원,2021,82791,41080,41711,8958,5067,3891,9112,4919,4193,12149,6073,6076,39731,18413,21318
51210,속초시,51,강원,2022,82806,41037,41769,8647,4879,3768,9115,4985,4130,12005,5966,6039,40587,18830,21757
51210,속초시,51,강원,2023,82054,40620,41434,8130,4605,3525,8946,4939,4007,11671,5829,5842,41418,19177,22241
51210,속초시,51,강원,2024,80933,39931,41002,7493,4202,3291,8829,4830,3999,11197,5635,5562,42094,19527,22567
51800,양구군,51,강원,2011,22285,11758,10527,3357,2181,1176,2839,1578,1261,3259,1763,1496,8062,3742,4320
51800,양구군,51,강원,2012,22799,12088,10711,3384,2233,1151,2916,1629,1287,3163,1728,1435,8440,3943,4497
51800,양구군,51,강원,2013,23594,12540,11054,3639,2445,1194,2950,1611,1339,3231,1745,1486,8845,4155,4690
51800,양구군,51,강원,2014,23888,12735,11153,3758,2530,1228,2947,1633,1314,3252,1769,1483,9082,4289,4793
51800,양구군,51,강원,2015,24089,12936,11153,4001,2787,1214,2909,1560,1349,3159,1735,1424,9281,4404,4877
51800,양구군,51,강원,2016,24010,12918,11092,4020,2827,1193,2829,1541,1288,3064,1680,1384,9536,4552,4984
51800,양구군,51,강원,2017,23835,12768,11067,3822,2648,1174,2814,1573,1241,2970,1615,1355,9796,4696,5100
51800,양구군,51,강원,2018,23408,12462,10946,3605,2451,1154,2777,1536,1241,2822,1561,1261,9957,4789,5168
51800,양구군,51,강원,2019,22764,12082,10682,3276,2217,1059,2683,1477,1206,2646,1442,1204,10137,4915,5222
51800,양구군,51,강원,2020,22278,11829,10449,3171,2132,1039,2547,1415,1132,2556,1396,1160,10255,4990,5265
51800,양구군,51,강원,2021,21748,11464,10284,2856,1897,959,2471,1373,1098,2428,1310,1118,10415,5092,5323
51800,양구군,51,강원,2022,21383,11215,10168,2614,1701,913,2390,1347,1043,2432,1297,1135,10511,5163,5348
51800,양구군,51,강원,2023,21056,11063,9993,2412,1567,845,2325,1317,1008,2380,1254,1126,10640,5261,5379
