시도코드,시도,연도,총인구,남자인구,여자인구,20대,남_20대,여_20대,30대,남_30대,여_30대,40대,남_40대,여_40대,50대이상,남_50대이상,여_50대이상
43,충북,2011,1562903,787981,774922,197522,105833,91689,233527,120872,112655,262692,136306,126386,512119,237903,274216
43,충북,2012,1565628,789286,776342,193387,104328,89059,232019,119910,112109,260120,134856,125264,531080,247894,283186
43,충북,2013,1572732,792862,779870,192553,104476,88077,227068,117522,109546,264661,136942,127719,547822,256540,291282
43,충북,2014,1578933,796141,782792,194013,105713,88300,220756,114478,106278,265726,137391,128335,566733,266266,300467
43,충북,2015,1583952,798896,785056,196456,107205,89251,216258,112674,103584,262133,135414,126719,587158,276688,310470
43,충북,2016,1591625,803240,788385,198134,108400,89734,212590,111039,101551,259637,133795,125842,607924,287829,320095
43,충북,2017,1594432,805091,789341,199663,109404,90259,207682,108776,98906,255596,131777,123819,628459,298392,330067
43,충북,2018,1599252,808971,790281,200941,110912,90029,205568,107938,97630,248623,128793,119830,650748,309676,341072
43,충북,2019,1600007,810384,789623,200205,111152,89053,200080,105427,94653,243597,126389,117208,672483,320867,351616
43,충북,2020,1600837,811591,789246,199209,110849,88360,194677,103283,91394,241194,124974,116220,693007,331714,361293
43,충북,2021,1597427,810672,786755,194415,108354,86061,190607,101877,88730,237327,122922,114405,711692,341753,369939
43,충북,2022,1595058,810782,784276,188310,104821,83489,187432,101564,85868,236190,122170,114020,727834,350699,377135
43,충북,2023,1593469,810448,783021,181676,100616,81060,187761,102774,84987,230702,119606,111096,745551,359811,385740
43,충북,2024,1591177,809920,781257,173746,95958,77788,189274,104096,85178,225024,116987,108037,762300,368902,393398
51,강원,2025,1508500,758575,749925,148129,82940,65189,158676,85409,73267,194973,99450,95523,800698,384839,415859
41,경기,2025,13730135,6894990,6835145,1557604,814670,742934,1925447,1009527,915920,2183467,1114825,1068642,5847151,2822587,3024564
48,경남,2025,3207383,1617421,1589962,288774,163155,125619,342312,183673,158639,475747,245089,230658,1607002,770487,836515
47,경북,2025,2506526,1268493,1238033,220603,126342,94261,252742,139375,113367,333006,174024,158982,1356219,650232,705987
29,광주,2025,1392013,686799,705214,170562,89079,81483,173650,90372,83278,212971,106320,106651,604652,282910,321742
27,대구,2025,2353032,1152579,1200453,253449,132766,120683,285101,152119,132982,335855,167482,168373,1131407,521998,609409
30,대전,2025,1440729,717936,722793,187702,97821,89881,194991,103877,91114,209116,104813,104303,626397,296968,329429
26,부산,2025,3241600,1575600,1666000,338697,172547,166150,388297,200787,187510,460252,232982,227270,1619640,746578,873062
11,서울,2025,9299548,4481099,4818449,1254885,586727,668158,1462944,731350,731594,1364640,674176,690464,4038546,1885709,2152837
36,세종,2025,391965,195107,196858,36463,18625,17838,57808,28609,29199,76443,37469,38974,128428,63336,65092
31,울산,2025,1091948,562926,529022,110774,64194,46580,136897,75730,61167,169091,87850,81241,498022,243730,254292
28,인천,2025,3051961,1524286,1527675,338166,174448,163718,431527,225438,206089,474182,244553,229629,1342845,641411,701434
46,전남,2025,1779135,898640,880495,159467,89070,70397,170351,90587,79764,227279,120073,107206,970708,470112,500596
52,전북,2025,1724856,859325,865531,172187,93502,78685,172921,90945,81976,227201,116001,111200,904830,431579,473251
50,제주,2025,664792,332165,332627,65686,35106,30580,77002,39221,37781,102473,51644,50829,305153,147439,157714
44,충남,2025,2136753,1097059,1039694,212177,117259,94918,252555,138811,113744,313704,167301,146403,1029164,504213,524951
43,충북,2025,1596502,813665,782837,166917,92277,74640,193236,106979,86257,221812,115699,106113,778039,376936,401103
