"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~4세","2016년_남_총인구수","2016년_남_연령구간인구수","2016년_남_0~4세","2016년_여_총인구수","2016년_여_연령구간인구수","2016년_여_0~4세","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~4세","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~4세","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~4세","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~4세","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~4세","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~4세"
"경상북도 울릉군 울릉읍(4794025000)","7,118","174","174","3,867","92","92","3,251","82","82","7,036","154","154","3,844","81","81","3,192","73","73","6,896","150","150","3,737","84","84","3,159","66","66"
"경상북도 울릉군 서면(4794031000)","968","31","31","505","13","13","463","18","18","979","30","30","522","14","14","457","16","16","984","24","24","531","14","14","453","10","10"
"경상북도 울릉군 서면태하출장소(4794031500)","479","4","4","261","4","4","218","0","0","495","6","6","260","3","3","235","3","3","491","5","5","254","3","3","237","2","2"
"경상북도 울릉군 북면(4794032000)","1,436","28","28","797","13","13","639","15","15","1,465","33","33","815","15","15","650","18","18","1,461","32","32","806","13","13","655","19","19"
"경상남도  (4800000000)","3,373,871","151,587","151,587","1,699,219","77,996","77,996","1,674,652","73,591","73,591","3,380,404","143,158","143,158","1,701,413","73,620","73,620","1,678,991","69,538","69,538","3,373,988","134,437","134,437","1,697,412","69,079","69,079","1,676,576","65,358","65,358"
"경상남도 창원시 (4812000000)","1,063,907","47,365","47,365","540,073","24,561","24,561","523,834","22,804","22,804","1,057,032","44,116","44,116","536,167","22,846","22,846","520,865","21,270","21,270","1,053,601","41,702","41,702","534,119","21,540","21,540","519,482","20,162","20,162"
"경상남도 창원시 의창구 (4812100000)","252,435","10,797","10,797","128,719","5,523","5,523","123,716","5,274","5,274","253,349","10,422","10,422","129,036","5,394","5,394","124,313","5,028","5,028","252,896","10,010","10,010","128,759","5,164","5,164","124,137","4,846","4,846"
"경상남도 창원시 의창구 동읍(4812125000)","22,908","911","911","11,615","458","458","11,293","453","453","22,334","763","763","11,330","393","393","11,004","370","370","21,675","640","640","11,029","327","327","10,646","313","313"
"경상남도 창원시 의창구 북면(4812131000)","29,431","2,486","2,486","14,920","1,249","1,249","14,511","1,237","1,237","36,436","3,128","3,128","18,503","1,611","1,611","17,933","1,517","1,517","40,914","3,481","3,481","20,705","1,790","1,790","20,209","1,691","1,691"
"경상남도 창원시 의창구 대산면(4812132000)","7,296","123","123","3,683","63","63","3,613","60","60","7,027","98","98","3,551","61","61","3,476","37","37","6,952","106","106","3,517","61","61","3,435","45","45"
"경상남도 창원시 의창구 의창동(4812151000)","37,716","1,447","1,447","19,233","755","755","18,483","692","692","36,233","1,244","1,244","18,413","638","638","17,820","606","606","35,173","1,040","1,040","17,859","516","516","17,314","524","524"
"경상남도 창원시 의창구 팔룡동(4812152000)","38,111","1,694","1,694","19,564","875","875","18,547","819","819","36,813","1,454","1,454","18,860","749","749","17,953","705","705","35,866","1,346","1,346","18,361","686","686","17,505","660","660"
"경상남도 창원시 의창구 명곡동(4812153000)","51,204","1,822","1,822","25,949","908","908","25,255","914","914","49,119","1,553","1,553","24,882","793","793","24,237","760","760","47,110","1,328","1,328","23,951","698","698","23,159","630","630"
"경상남도 창원시 의창구 봉림동(4812154000)","36,275","1,284","1,284","18,863","655","655","17,412","629","629","34,173","1,083","1,083","17,799","551","551","16,374","532","532","32,678","909","909","17,006","449","449","15,672","460","460"
